rank	sandwich	restaurant	description	price	address	city	phone	website	full_address	formatted_address	lat	lng
1	BLT	Old Oak Tap	The B is applewood smoked&mdash;nice and snappy. The L is arugula&mdash;fresh and peppery. The T is a fried green slice&mdash;jacketed in cornmeal and greaseless. Slathered with pimiento cheese, the grilled ciabatta somehow stays crisp, providing three distinct layers of crunch. Truly inspired.	$10	2109 W. Chicago Ave.	Chicago	773-772-0406	theoldoaktap.com	2109 W. Chicago Ave., Chicago	2109 West Chicago Avenue, Chicago, IL 60622, USA	41.8957344	-87.6799598
2	Fried Bologna	Au Cheval	Thought your bologna-eating days had retired with your lunchbox? Luscious house-cured mortadella dotted with black pepper, sliced thin, and piled into layers on a spongy brioche bun should put you right back in the game. No thermos necessary.	$9	800 W. Randolph St.	Chicago	312-929-4580	aucheval.tumblr.com	800 W. Randolph St., Chicago	800 West Randolph Street, Chicago, IL 60607, USA	41.8846721	-87.647754
3	Woodland Mushroom	Xoco	Leave it to Rick Bayless and crew to come up with a vegetarian sandwich&mdash;garlicky roasted mushrooms commingling with tangy goat cheese and sharp arugula&mdash;as satisfying as the rest of the meat-packed menu. The three-chili salsa is a must-drizzle.	$9.50.	445 N. Clark St.	Chicago	312-334-3688	rickbayless.com	445 N. Clark St., Chicago	445 North Clark Street, Chicago, IL 60654, USA	41.8906019	-87.6309254
4	Roast Beef	Al&rsquo;s Deli	The Francophile brothers behind this deli, which has been in the family for 63 years, have turned simple ingredients into a sophisticated sandwich that balances savory and sweet: just rare roast beef, fresh tomato, Swiss cheese, and homemade b&eacute;arnaise sauce on a buttery croissant.	$9.40.	914 Noyes St.	Evanston		alsdeli.net	914 Noyes St., Evanston	914 Noyes Street, Evanston, IL 60201, USA	42.0584418	-87.6844254
5	PB&amp;L	Publican Qualty Meats	When this place opened in February, it quickly rose to the top tier with its refined roster of sandwiches. Take, for instance, the one with grilled housemade pork belly and lamb sausage. It&rsquo;s sprinkled with feta, cilantro, and sweet and spicy pip&eacute;rade and tucked into a toasted, buttered lobster roll. It&rsquo;s like the quarterback on a team packed with future Hall-of-Famers.	$10	825 W. Fulton Mkt.	Chicago	312-445-8977	publicanqualitymeats.com	825 W. Fulton Mkt., Chicago	825 West Fulton Market, Chicago, IL 60607, USA	41.8866372	-87.6485525
6	Belgian Chicken Curry Salad	Hendrickx Belgian Bread Crafter	The mom-and-pop aesthetic is a yeast-scented breath of fresh air in glitzy Streeterville, and the bakery turns out one gorgeous chicken salad. Chewy Belgian country bread encapsulates pulled chicken breast sauced with a delicate housemade curry.	$7.25.	100 E. Walton St.	Chicago	312-649-6717		100 E. Walton St., Chicago	100 East Walton Street, Chicago, IL 60611, USA	41.900246	-87.625163
7	Lobster Roll	Acadia	In a town that recently discovered the joys of lobster rolls, nobody does them better than Ryan McCaskey. He flies in fresh crustaceans from Maine daily, poaches them, sprinkles them with paprika and chives, and cradles them in buttery grilled rolls. From the Atlantic to your belly in 24 hours.	$16	1639 S. Wabash Ave.	Chicago	312-360-9500	acadiachicago.com	1639 S. Wabash Ave., Chicago	1639 South Wabash Avenue, Chicago, IL 60616, USA	41.858965	-87.625142
8	Smoked Salmon Salad	Birchwood Kitchen	Birchwood&rsquo;s sandwich-slinging virtuosos consistently wow us with their seasonal menus. This time around, they&rsquo;ve put a fallish slant on salmon salad, adding subtle notes of squash, red onion, sage, and chopped arugula to the mix and smooshing it inside a buttery, toasted sesame bagel.	$10	2211 W. North Ave.	Chicago	773-276-2100	birchwoodkitchen.com	2211 W. North Ave., Chicago	2211 West North Avenue, Chicago, IL 60647, USA	41.9103244	-87.6828424
9	Atomica Cemitas	Cemitas Puebla	Standing three inches high, the Atomica is something to behold. It&rsquo;s also a finely tuned blend of textures and spices: Krakus ham, guajillo pork loin, breaded milanesa, avocado, and Oaxacan cheese. For an extra kick, sprinkle salsa over the multitiered meat fiesta.	$9	3619 W. North Ave.	Chicago	773-772-8435	cemitaspuebla.com	3619 W. North Ave., Chicago	3619 West North Avenue, Chicago, IL 60647, USA	41.9098499	-87.7175808
10	Grilled Laughing Bird Shrimp and Fried Oyster Po&rsquo; Boy	Nana	Grilled Laughing Bird shrimp and fried oyster po&rsquo; boy, Nana<br />   Will it be shrimp? Or, gee, the oysters? In Cajun country, you are forced to choose. So bless Bridgeport, where the friendly organic joint Nana packs a meal-and-a-half-size baguette with both&mdash;grilled Laughing Bird shrimp, perfectly fried oysters&mdash;and, for good Midwestern measure, adds housemade giardiniera.	$17	3267 S. Halsted St.	Chicago	312-929-2486	nanaorganic.com	3267 S. Halsted St., Chicago	3267 South Halsted Street, Chicago, IL 60608, USA	41.8345589	-87.6460491
11	Ham and Raclette Panino	Lula Cafe	A crusty ciabatta bun is a flavorsome sponge for oozing Swiss cheese, rich egg yolk, and mustard with sweet-and-sour bursts of black currant. Smoky cured ham seals the deal.	$11	2537 N. Kedzie Blvd.	Chicago	773-489-9554	lulacafe.com	2537 N. Kedzie Blvd., Chicago	2537 North Kedzie Boulevard, Chicago, IL 60647, USA	41.9270848	-87.7072641
12	Breaded Steak	Ricobene&rsquo;s	This is what put Ricobene&rsquo;s on the map: breaded skirt steak topped with housemade meat sauce on a crusty Turano French roll and finished with your choice of cheese and peppers. It&rsquo;s juicy and sloppy, and you will finish every last bite.	$5.49.	252 W. 26th Street	Chicago	(312) 225-5555	ricobenespizza.com	252 W. 26th Street, Chicago	252 West 26th Street, Chicago, IL 60616, USA	41.845754	-87.633895
12	Breaded Steak	Ricobene&rsquo;s	This is what put Ricobene&rsquo;s on the map: breaded skirt steak topped with housemade meat sauce on a crusty Turano French roll and finished with your choice of cheese and peppers. It&rsquo;s juicy and sloppy, and you will finish every last bite.	$5.49.	271 N. Weber Road	Bolingbrook	(630) 378-4466	ricobenespizza.com	271 N. Weber Road, Bolingbrook	271 Weber Road, Bolingbrook, IL 60490, USA	41.7032627	-88.1256531
12	Breaded Steak	Ricobene&rsquo;s	This is what put Ricobene&rsquo;s on the map: breaded skirt steak topped with housemade meat sauce on a crusty Turano French roll and finished with your choice of cheese and peppers. It&rsquo;s juicy and sloppy, and you will finish every last bite.	$5.49.	5160 S. Pulaski Road	Chicago	(773) 284-2400	ricobenespizza.com	5160 S. Pulaski Road, Chicago	5160 South Pulaski Road, Chicago, IL 60632, USA	41.7989562	-87.7234342
12	Breaded Steak	Ricobene&rsquo;s	This is what put Ricobene&rsquo;s on the map: breaded skirt steak topped with housemade meat sauce on a crusty Turano French roll and finished with your choice of cheese and peppers. It&rsquo;s juicy and sloppy, and you will finish every last bite.	$5.49.	9135 W. 159th Street	Orland Hills	(708) 460-9966	ricobenespizza.com	9135 W. 159th Street, Orland Hills	9135 West 159th Street, Orland Hills, IL 60487, USA	41.6015413	-87.8414067
13	The Hawkeye	Frog n Snail	We didn&rsquo;t expect a <em>Man v. Food&ndash;</em>esque behemoth on Dale Levitski&rsquo;s menu, but there it was: a shiny egg bun dripping grease from its delectable pan-fried and ground pork innards. And ten minutes later, there it wasn&rsquo;t.	$14	3124 N. Broadway	Chicago	773-661-9166	frognsnail.com	3124 N. Broadway, Chicago	3124 North Broadway, Chicago, IL 60657, USA	41.9385126	-87.6444655
14	Chicken Dip	Crosby&rsquo;s Kitchen	Luscious nuggets of white meat from the kitchen&rsquo;s rotisserie stand in for the French dip&rsquo;s usual fatty beef. Swathed in melted Jack cheese and heaped with tomato, onion, and arugula, they fold it into a soft-crisp baguette with authority. The jus is just windowdressing.	$10	3455 N. Southport Ave.	Chicago	773-883-2525	crosbyskitchenchicago.com	3455 N. Southport Ave., Chicago	3455 North Southport Avenue, Chicago, IL 60657, USA	41.9450868	-87.6638068
15	Wild Boar Sloppy Joe	Longman &amp; Eagle	With its toasted brioche, peppery pickled jalape&ntilde;os, crispy onions, and fried sage, this Joe is a man-size wowzer spilling over with tender, spicy ground boar. It&rsquo;s better to cheat and use silverware than let any meaty morsels get away.	$13	2657 N. Kedzie Ave.	Chicago	773-276-7110	longmanandeagle.com	2657 N. Kedzie Ave., Chicago	2657 North Kedzie Avenue, Chicago, IL 60647, USA	41.9301009	-87.7072427
