rank	sandwich	restaurant	description	price	address	city	full_address	phone	website
1	BLT	Old Oak Tap	The B is applewood smoked&mdash;nice and snappy. The L is arugula&mdash;fresh and peppery. The T is a fried green slice&mdash;jacketed in cornmeal and greaseless. Slathered with pimiento cheese, the grilled ciabatta somehow stays crisp, providing three distinct layers of crunch. Truly inspired.	$10	2109 W. Chicago Ave.	Chicago	2109 W. Chicago Ave., Chicago	773-772-0406	theoldoaktap.com
2	Fried Bologna	Au Cheval	Thought your bologna-eating days had retired with your lunchbox? Luscious house-cured mortadella dotted with black pepper, sliced thin, and piled into layers on a spongy brioche bun should put you right back in the game. No thermos necessary.	$9	800 W. Randolph St.	Chicago	800 W. Randolph St., Chicago	312-929-4580	aucheval.tumblr.com
3	Woodland Mushroom	Xoco	Leave it to Rick Bayless and crew to come up with a vegetarian sandwich&mdash;garlicky roasted mushrooms commingling with tangy goat cheese and sharp arugula&mdash;as satisfying as the rest of the meat-packed menu. The three-chili salsa is a must-drizzle.	$9.50.	445 N. Clark St.	Chicago	445 N. Clark St., Chicago	312-334-3688	rickbayless.com
4	Roast Beef	Al&rsquo;s Deli	The Francophile brothers behind this deli, which has been in the family for 63 years, have turned simple ingredients into a sophisticated sandwich that balances savory and sweet: just rare roast beef, fresh tomato, Swiss cheese, and homemade b&eacute;arnaise sauce on a buttery croissant.	$9.40.	914 Noyes St.	Evanston	914 Noyes St., Evanston		alsdeli.net
5	PB&amp;L	Publican Qualty Meats	When this place opened in February, it quickly rose to the top tier with its refined roster of sandwiches. Take, for instance, the one with grilled housemade pork belly and lamb sausage. It&rsquo;s sprinkled with feta, cilantro, and sweet and spicy pip&eacute;rade and tucked into a toasted, buttered lobster roll. It&rsquo;s like the quarterback on a team packed with future Hall-of-Famers.	$10	825 W. Fulton Mkt.	Chicago	825 W. Fulton Mkt., Chicago	312-445-8977	publicanqualitymeats.com
6	Belgian Chicken Curry Salad	Hendrickx Belgian Bread Crafter	The mom-and-pop aesthetic is a yeast-scented breath of fresh air in glitzy Streeterville, and the bakery turns out one gorgeous chicken salad. Chewy Belgian country bread encapsulates pulled chicken breast sauced with a delicate housemade curry.	$7.25.	100 E. Walton St.	Chicago	100 E. Walton St., Chicago	312-649-6717	
7	Lobster Roll	Acadia	In a town that recently discovered the joys of lobster rolls, nobody does them better than Ryan McCaskey. He flies in fresh crustaceans from Maine daily, poaches them, sprinkles them with paprika and chives, and cradles them in buttery grilled rolls. From the Atlantic to your belly in 24 hours.	$16	1639 S. Wabash Ave.	Chicago	1639 S. Wabash Ave., Chicago	312-360-9500	acadiachicago.com
8	Smoked Salmon Salad	Birchwood Kitchen	Birchwood&rsquo;s sandwich-slinging virtuosos consistently wow us with their seasonal menus. This time around, they&rsquo;ve put a fallish slant on salmon salad, adding subtle notes of squash, red onion, sage, and chopped arugula to the mix and smooshing it inside a buttery, toasted sesame bagel.	$10	2211 W. North Ave.	Chicago	2211 W. North Ave., Chicago	773-276-2100	birchwoodkitchen.com
9	Atomica Cemitas	Cemitas Puebla	Standing three inches high, the Atomica is something to behold. It&rsquo;s also a finely tuned blend of textures and spices: Krakus ham, guajillo pork loin, breaded milanesa, avocado, and Oaxacan cheese. For an extra kick, sprinkle salsa over the multitiered meat fiesta.	$9	3619 W. North Ave.	Chicago	3619 W. North Ave., Chicago	773-772-8435	cemitaspuebla.com
10	Grilled Laughing Bird Shrimp and Fried Oyster Po&rsquo; Boy	Nana	Grilled Laughing Bird shrimp and fried oyster po&rsquo; boy, Nana<br />   Will it be shrimp? Or, gee, the oysters? In Cajun country, you are forced to choose. So bless Bridgeport, where the friendly organic joint Nana packs a meal-and-a-half-size baguette with both&mdash;grilled Laughing Bird shrimp, perfectly fried oysters&mdash;and, for good Midwestern measure, adds housemade giardiniera.	$17	3267 S. Halsted St.	Chicago	3267 S. Halsted St., Chicago	312-929-2486	nanaorganic.com
